name,free_returns,items_sold,status,shipping,price
Rose Quartz 1 Pair 925 Sterling Silver Plated Earrings ,True,,New (Other),0,99
Gorgeous Women Cubic Zirconia Jewelry  Silver Drop Earrings Wedding Gifts,True,,Brand New,0,325
Fashion Cubic Zircon  Silver Stud Earrings for Women Wedding Jewelry Gift,True,82,Brand New,0,274
Dazzling Boho Style Silver Plated  Long Drop Earrings Sapphire Tassel Women Gift,True,,New (Other),0,509
Creative Triangle Square Stud Earrings For Women Trendy Simple Minimalist,False,92,New (Other),0,385
New Banana Republic Gold & Green Rhinestone Drop Earrings nwt #E1076,False,,Brand New,0,699
Gold Star Tassel Earrings Rear Hanging Six-pointed Drop Dangle Women Jewelry New,False,72,New (Other),0,257
New 925 Silver Hedgehog Freshwater Pearl Earrings Drop Dangle Women Jewelry Gift,False,272,New (Other),0,195
Fashion 925 Silver Plated Drop Earrings for Women Blue Sapphire Jewelry 1 Pair,True,0,Brand New,0,469
925 Silver Ruby Ear Hook Drop Dangle Earrings Cubic Zirconia Anniversary Jewelry,True,485,Brand New,0,223
1pc Punk Earrings Men Women Boys Stainless Steel Ear Stud Hoop Dangle Jewelry,False,,New (Other),0,80
Fashion 925 Silver Zircon Crystal Earrings Stud Women Drop Dangle Jewelry Gifts,True,6,Brand New,0,80
Fashion Rhombus Emerald Crystal Earrings Stud Drop Dangle Women Jewelry Gifts,False,,Brand New,0,184
1 pair Faux Leather Earrings Christmas lights LESS THAN 2 INCHES ,False,0,New (Other),0,200
Stud Earring Black Plum Shape Elegant style Flower Earrings ,False,,Brand New,80,96
Lots Fashion Women 925 Silver Stud Crystal Drop Hoop Earrings Wedding Party Gift,False,,New (Other),0,80
7 Colors clip on Earrings for Women 925 Silver Plated Jewelry Cubic Zircon 1Pair,True,0,New (Other),0,409
