name,free_returns,items_sold,status,shipping,price
"THANKSGIVING Greeting Card, HAPPY THANKSGIVING",True,,Brand New,99,325
New ListingHappy Thanksgiving Banner Decor Thanksgiving Turkey Maple Leaves Pumpkin 120x20,True,,Brand New,0,2099
HAPPY THANKSGIVING farmhouse decor stacked wood blocks-shelf sitter-hand painted,False,,Brand New,557,850
New Handmade Crochet Fall Thanksgiving Pumpkin Pie Slice Plush Tier Tray Decor,False,,Brand New,475,1399
EUC Thanksgiving Tom Turkey Shelf Sitter ,False,,Pre-Owned,955,399
Toland Turkey Day 12.5 x 18 Happy Thanksgiving Fall  Autumn Leaves Garden Flag,True,70,Brand New,0,998
Thanksgiving Window Clings Thanksgiving Party Decorations,True,88,Brand New,399,169
"Mini Thanksgiving Turkey 5"" Small Honeycomb Table Centerpiece 1 ct",False,,Brand New,398,439
"New ListingFall Thanksgiving Pumpkin Table Flower Centerpiece w vase 18"" tall handmade New",False,,Brand New,0,2999
Glitzhome 30''H Thanksgiving Metal Turkey Welcome Yard Stake Door Hanging Decor,False,,Brand New,899,2699
Happy Thanksgiving Day Snoopy And Woodstock Thanksgiving T-Shirt Unisex Gift ,False,,Brand New,0,1090
Thanksgiving Turkey Pumpkin Pie Wine Fruit Autumn Leaf Maple 3D Nail Sticker,False,,Brand New,0,325
Fullerton Thanksgiving Pilgrim Orange Citrus Fruit Crate Label Art Print,True,0,Brand New,0,959
Papyrus Greeting Thanksgiving Card Woodland Animals Thinking of You Sweet Wishes,False,,Brand New,125,400
Thanksgiving Happy Fall Harvest Give Thanks Hanging Banner Multi-Scarecrow,True,,Brand New,0,1337
"New ListingVintage Ceramic Turkey napkinholder Thanksgiving Fall decor 6""H ",False,,Pre-Owned,1595,1995
Rhinestone Pum[kin Hallowwen Thanksgiving T-Shirt,False,0,Brand New,0,1599
,False,,,0,
5ft Thanksgiving Inflatable LED Lighted Turkey w/ Hat Blow up Lawn Yard Deco,True,,Brand New,0,4999
"Thankful Turkey Garden Flag Give Thanks Holiday 12.5"" x 18"" Briarwood LAne",True,,Brand New,0,899
2 X Puritans Double Strength 240 Caps THANKSGIVING GIFT,True,,Brand New,0,2924
2pcs Maple Leaf String Lights Thanksgiving Indoor  Outdoor Fall Decorations 10FT,False,,Brand New,0,1329
Papyrus Greeting Thanksgiving Card Woodland Animals Thinking of You Sweet Wishes,False,,Brand New,125,400
14.7FT Thanksgiving Fall Maple Leaves 40 LED Fairy Light Lamp Garland Decor,False,,Brand New,0,899
Thanksgiving Happy Fall Harvest Give Thanks Hanging Banner Multi-Scarecrow,True,,Brand New,0,1337
Happy Thanksgiving handmade greeting card and envelope Stampin' Up!,False,0,Brand New,303,200
Happy Turkey Day Funny Thanksgiving Turkey Plaid Pumpkin Autumn Fall Leaf Shirt,False,,New (Other),599,659
New Listing2Pcs Large Happy Fall Banner Happy Thanksgiving Party Indoor Outdoor Decorations,True,,Brand New,0,1699
"Autumn foil Maple leaves Fall or Thanksgiving 2 1/2"" Red, Orange, Gold Earrings",True,29,New (Other),0,495
"It is Thanksgiving Flag, Snoopy Hello Thanksgiving Garden Flag 12x18 in",False,0,Brand New,499,1599
New ListingGRATEFUL Thanksgiving Hanging Burlap Banner Garland Sign 5 1/4 Feet,False,,Brand New,0,1950
Happy Thanksgiving Garden Flag 12x18in Seasonal Garden Flag Pumpkins Fall Autumn,True,,Brand New,0,777
